id,car_valuation
247,683324
597,503876
736,734563
3,840567
443,659563
499,576050
748,857887
773,525011
446,575153
526,674825
160,872074
670,192840
665,804294
435,805322
318,633109
589,628189
460,400058
437,1042380
385,927365
427,837908
349,356944
397,652706
461,766287
296,634719
738,626287
102,349436
204,579730
265,891733
333,611521
326,573037
721,387100
313,591668
614,619402
321,401588
452,678236
568,828246
105,669705
365,709341
192,653481
98,594982
541,605025
745,284270
513,803123
622,684203
659,560409
509,833837
751,642979
2,729175
228,860363
220,615003
21,661163
389,674469
329,829145
208,753615
310,714655
422,858994
514,651203
417,669645
715,662880
703,192734
776,886569
81,619917
305,517460
546,932742
391,622014
104,802818
549,432818
73,880973
666,630512
136,840513
